intended_code,intended_linear,sent_frac,sent_code
0,0,0,0
1,0.00392156862745098,0.0525556978471276,13
2,0.00784313725490196,0.0728684329094086,19
3,0.0117647058823529,0.0971800158446243,25
4,0.0156862745098039,0.120136360473898,31
5,0.0196078431372549,0.140777433618533,36
6,0.0235294117647059,0.16132501737768,41
7,0.0274509803921569,0.181391501581061,46
8,0.0313725490196078,0.200434870766044,51
9,0.0352941176470588,0.217913109469996,56
10,0.0392156862745098,0.233284202230284,59
11,0.0431372549019608,0.246006133584276,63
12,0.0470588235294118,0.255984809803351,65
13,0.0509803921568627,0.265341665152799,68
14,0.0549019607843137,0.274433779818105,70
15,0.0588235294117647,0.28326740861322,72
16,0.0627450980392157,0.291848806352095,74
17,0.0666666666666667,0.300184227848683,77
18,0.0705882352941176,0.308279927916933,79
19,0.0745098039215686,0.316142161370799,81
20,0.0784313725490196,0.323777183024231,83
21,0.0823529411764706,0.331191247691182,84
22,0.0862745098039216,0.338390610185601,86
23,0.0901960784313725,0.345381525321442,88
24,0.0941176470588235,0.352170247912655,90
25,0.0980392156862745,0.358763032773192,91
26,0.101960784313725,0.365166134717004,93
27,0.105882352941176,0.371385808558044,95
28,0.109803921568627,0.377428309110262,96
29,0.113725490196078,0.38329989118761,98
30,0.117647058823529,0.38900680960404,99
31,0.12156862745098,0.394555319173502,101
32,0.125490196078431,0.399951674709949,102
33,0.129411764705882,0.405202131027332,103
34,0.133333333333333,0.410312942939603,105
35,0.137254901960784,0.415290365260712,106
36,0.141176470588235,0.420140652804612,107
37,0.145098039215686,0.424870060385254,108
38,0.149019607843137,0.42948484281659,110
39,0.152941176470588,0.43399125491257,111
40,0.156862745098039,0.438395551487147,112
41,0.16078431372549,0.442703987354272,113
42,0.164705882352941,0.446922817327897,114
43,0.168627450980392,0.451058296221972,115
44,0.172549019607843,0.455116678850451,116
45,0.176470588235294,0.459104220027283,117
46,0.180392156862745,0.46302717456642,118
47,0.184313725490196,0.466891797281815,119
48,0.188235294117647,0.470704342987418,120
49,0.192156862745098,0.474471066497182,121
50,0.196078431372549,0.478198222625057,122
51,0.2,0.481892066184994,123
52,0.203921568627451,0.485558851990947,124
53,0.207843137254902,0.489204834856865,125
54,0.211764705882353,0.492836269596701,126
55,0.215686274509804,0.496459411024406,127
56,0.219607843137255,0.500080513953932,128
57,0.223529411764706,0.503688474019056,128
58,0.227450980392157,0.507178357982458,129
59,0.231372549019608,0.510539515986166,130
60,0.235294117647059,0.513781647536068,131
61,0.23921568627451,0.516914452138051,132
62,0.243137254901961,0.519947629298002,133
63,0.247058823529412,0.522890878521809,133
64,0.250980392156863,0.52575389931536,134
65,0.254901960784314,0.528546391184541,135
66,0.258823529411765,0.531278053635241,135
67,0.262745098039216,0.533958586173346,136
68,0.266666666666667,0.536597688304745,137
69,0.270588235294118,0.539205059535324,137
70,0.274509803921569,0.541790399370972,138
71,0.27843137254902,0.544363407317575,139
72,0.282352941176471,0.546933782881021,139
73,0.286274509803922,0.549510614074535,140
74,0.290196078431373,0.552079024181574,141
75,0.294117647058824,0.554628227217534,141
76,0.298039215686275,0.557157344304079,142
77,0.301960784313725,0.559665496562869,143
78,0.305882352941176,0.562151805115565,143
79,0.309803921568627,0.564615391083828,144
80,0.313725490196078,0.56705537558932,145
81,0.317647058823529,0.569470879753703,145
82,0.32156862745098,0.571861024698636,146
83,0.325490196078431,0.574224931545783,146
84,0.329411764705882,0.576561721416803,147
85,0.333333333333333,0.578870515433358,148
86,0.337254901960784,0.58115043471711,148
87,0.341176470588235,0.58340060038972,149
88,0.345098039215686,0.585620133572848,149
89,0.349019607843137,0.587808155388157,150
90,0.352941176470588,0.589963786957308,150
91,0.356862745098039,0.592086149401961,151
92,0.36078431372549,0.594174363843778,152
93,0.364705882352941,0.59622755140442,152
94,0.368627450980392,0.598244833205549,153
95,0.372549019607843,0.600225099522884,153
96,0.376470588235294,0.602147674270049,154
97,0.380392156862745,0.604003400804242,154
98,0.384313725490196,0.605797687334603,154
99,0.388235294117647,0.607535942070274,155
100,0.392156862745098,0.609223573220397,155
101,0.396078431372549,0.610865988994113,156
102,0.4,0.612468597600563,156
103,0.403921568627451,0.61403680724889,157
104,0.407843137254902,0.615576026148234,157
105,0.411764705882353,0.617091662507737,157
106,0.415686274509804,0.618589124536541,158
107,0.419607843137255,0.620073820443787,158
108,0.423529411764706,0.621551158438617,158
109,0.427450980392157,0.623026546730171,159
110,0.431372549019608,0.624505393527593,159
111,0.435294117647059,0.625993107040022,160
112,0.43921568627451,0.627495095476601,160
113,0.443137254901961,0.629016767046472,160
114,0.447058823529412,0.630563529958775,161
115,0.450980392156863,0.632140792422652,161
116,0.454901960784314,0.633753962647244,162
117,0.458823529411765,0.635408448841694,162
118,0.462745098039216,0.637109659215143,162
119,0.466666666666667,0.638863001976732,163
120,0.470588235294118,0.640673885335602,163
